title,text,type,zip,sourceUrl
Birmingham Mutual Aid,"If you have resources available to offer (meals, rides, money, toilet paper, a listening ear, prescription pickups, childcare,  knowledge of non-profits, etc...), add them here. | Si tienes recursos disponibles para ofrecer (comida, viajes, dinero, papel sanitario, un oído para escuchar, levantar medicamentos, conocimiento sobre organizaciones sin fines de lucro, etc) agregalas aquí",network,35203,https://docs.google.com/document/d/12wY7BG4wzI0TJ6IHIg231iJX6bZ7T0NqPKRiexCColo/edit?userstoinvite=revmajadi@gmail.com&ts=5e6c5ef6&actionButton=1
FAIRBANKS MUTUAL AID LIST,"This google document is for sharing resources that we know about in the Fairbanks North Star Borough. If you have anything to add or have other suggestions regarding this list, please email brodiecooking@gmail.com. If you have some resource or service that you’d like to share with your Fairbanks neighbors, let me know and I can post it here.",network,99701,https://docs.google.com/document/d/e/2PACX-1vTPNaoLRnV1YBI9RAqcspAlmvZje-0urve47FzVbBNd3EyN_sxq5dKCf_oXUbWEK7flbCH5R52_xXCo/pub
Sacramento COVID-19 Mutual Aid 2020,"This crisis is our opportunity to start building the community care and support systems we so sorely need, now and beyond. Please feel free to input any info. you are comfortable sharing in a public-facing document, and what you are in need of, or what you can offer. Please be as specific as possible | siéntase libre de ingresar cualquier información que se sienta cómodo para compartir y lo que necesita. Esta crisis es nuestra oportunidad de comenzar a construir la atención comunitaria que tanto necesitamos, ahora y más allá. Amor y solidaridad",network,94203,https://docs.google.com/spreadsheets/d/1iRTr4P5fJsGlJ5ogNqogZMOFtuOsdMSiDylkjZo-AKE/htmlview#gid=634347005
DSA San Diego Mutual Aid Fund,"As we face an unprecedented pandemic in our communities, many people find themselves without access to safety net services to help them meet their basic needs, like groceries and water. You can help the Libertarian Socialist Caucus of San Diego DSA provide financial solidarity to those who need it by donating here! ",need,22434,https://www.gofundme.com/f/dsa-san-diego-mutual-aid-fund
DSA San Diego Mutual Aid Network," Fill out this form if you need someone to shop for groceries, and we'll help connect you to the right person. Links to form where you can volunteer to be a shopper.",network,22434,https://forms.gle/VxSZb1BxoBer7tZ28
Coronavirus Mutual Aid,"a list of places where people with money/resources can redistribute them to those in need. And, where people who need money/resources can request or access them. ",network,94016,https://docs.google.com/document/d/1vl5jnGjzzFuV7Our-fI1MwyK25TqM6VzkoOZr-ECqng/edit#
East Bay Mutual Aid,If you are in need of assistance following the COVID-19 outbreak please fill out the following survey.,network,94111,https://docs.google.com/forms/d/e/1FAIpQLSeL8HnzhwF83qq3qyDJPsE0fTSRweSp4RBZrNq-pTa3un60qg/viewform
South Bay Mutual Aid,If you are in need of assistance following the COVID-19 outbreak please fill out the following survey.,network,94121,https://airtable.com/shr6XDSLNt5aqIFbN
Northern Colorado Community Mutual Aid and Defense,"Northern Colorado Community Mutual Aid and Defense (CMAD) is a group of leftists committed to providing community defense, firearms handling and safety education, and mutual aid to the communities of Northern Colorado and its surrounding areas.",network,80521,https://www.facebook.com/nococmad/
Connecticut Mutual Aid Network,"""Be strong. Overflow with the passion of thought and action; so shall your understanding, your love, your energy, pour itself into others."" - Peter kropotkin, Mutual Aid: A Factor of Evolution",network,06101,https://www.facebook.com/groups/517270102268657/?ref=search
CoronaVirus CT Community Support / Apoyo Comunitario,CT CORE is building and facilitating a mutual aid/ community support network throughout Connecticut to ensure that state residents in the community can request support or offer support and talents to those who can use them. ,network,06101,https://docs.google.com/forms/d/e/1FAIpQLSee9baIhH7IglyvLdkBtlrMSK9AiJbJQvIksUArLV0ZksvO7g/viewform?fbclid=IwAR2I8Rbt6EcRGhZCHos7cK0tjUc4E-PTDgL4cx5Vv9IblQ9HqMsAYg0oJ6Q
Northern Connecticut Anarchist,"Serving the communities in Connecticut, and providing mutual aid and direct action.",network,06101,https://www.facebook.com/MutualAidCt/
Greater Waterbury Mutual Aid and Defense Network,"We provide solidarity to the people of Waterbury and surrounding areas, who are having issues with bosses, landlords, cops, politicians, or food access.",network,06701,https://www.facebook.com/GWMADN/?ref=br_rs
twitter thread on mutual aid opportunities,,misc,20009,https://twitter.com/mhbaskin/status/1238192538617614336
"Petworth, Washington, D.C. Mutual Aid Doc","In Petworth, there's a Google doc with contact information from a couple dozen neighbors willing to do grocery runs, make meals, help with child care, etc. during the pandemic.",network,20010,https://twitter.com/DCHammslice/status/1238297631455170560
Takoma DC Community Care and Mutual Aid Signup,isolation can be difficult without the support of your neighbors. This form will help us provide support to each other!,network,20912,https://docs.google.com/forms/d/e/1FAIpQLSfwZ4xkZzW2-TdWlIUPlSpvaG1QRIRHy4ulYKqsyV9NqgKYMw/viewform
Many Languages One Voice,"Many Languages One Voice builds immigrant power in Washington, DC.",action,20009,https://www.facebook.com/251422484901646/posts/3191721144205084/
Statement on COVID-19 Preparedness,Capital Area Food Bank ,misc,20017,https://www.capitalareafoodbank.org/newsroom/press-releases/capital-area-food-bank-statement-on-covid-19-preparedness/
NW DC COVID-19 Mutual Aid,"I am working closely with several low income housing communities in Ward 1 to assess their needs and to provide them with mutual aid from these funds. Also, if you are in need of help, call 202-681-9183 or email w1mutualaid@gmail.com and I, alongside several other organizers in the community, will do our best to meet your needs as well.",network,20001,https://www.gofundme.com/f/nw-dc-covid19-mutual-aid?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp+share-sheet
DC Mutual Aid ,"The DC Mutual Aid Network and Facebook group is a grassroots, community-led effort looking to take care of each other and keep our city as safe as possible. To locate current efforts across the city, find help, or find out how to plug in, this spreadsheet is your first stop: bit.ly/dcmutualaidspreadsheet.",network,20000,https://www.facebook.com/groups/492881801379594/?fref=mentions
East Of The River Mutual Aid Fund,Black Lives Matter DC is organizing this fundraiser,action,20019,https://www.gofundme.com/f/blmcovid?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet
Civic Media Center,"he Civic Media Center is a community - based non-profit organization that serves as a resource for progressive grassroots organizing, activism, and public awareness in Gainesville. ",network,32601,https://www.civicmediacenter.org/get-involved
Gainesville COVID-19 Mutual Aid,"A group where people can offer help or ask for help during this pandemic. Specific to Gainesville, Florida.",network,32601,https://www.facebook.com/groups/243135496869312/?fref=nf
"My Block, My Hood, My City",We look for opportunities to take direct action in communities that have been left out and divested from.,network,60605,https://twitter.com/mbmhmc
